Date,Open,Close,Volume,gap,upDown
2012-07-18,6.284,6.43,14409500,2.32,1
2012-07-19,6.544,6.454,7179500,-1.37,-1
2012-07-20,6.414,6.358,7842500,-0.87,0
2012-07-23,6.21,6.132,6934000,-1.25,-1
2012-07-24,6.132,5.968,7501500,-2.67,-1
2012-07-25,5.984,5.79,14211000,-3.24,-1
2012-07-26,5.98,5.626,11311500,-5.91,-1
2012-07-27,5.742,5.902,8365000,2.78,1
2012-07-30,5.902,5.47,10326000,-7.31,-1
2012-07-31,5.508,5.484,7875500,-0.43,0
2012-08-01,5.598,5.25,7961500,-6.21,-1
2012-08-02,5.368,5.22,6525500,-2.75,-1
2012-08-03,5.38,5.454,6047500,1.37,1
2012-08-06,5.51,5.654,7641000,2.61,1
2012-08-07,5.754,6.05,11936000,5.14,1
2012-08-08,5.98,5.818,6544500,-2.7,-1
2012-08-09,5.904,5.882,3363000,-0.37,0
